trade_date,ts_code,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
20260114,603778.SH,国晟科技,27.72,10.0,10.93,5713453351.0,248732510.12,269533604.92,518266115.04,20801094.8,0.36,9.07,17819999976.24,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20260114,603828.SH,ST柯利达,9.7,4.9784,0.06,9059085.0,5320630.0,7655913.16,12976543.16,2335283.16,25.78,143.24,5780614362.5,ST、*ST证券连续三个交易日内收盘价格涨幅偏离值累计达到12%的证券
20260114,603843.SH,*ST正平,5.84,-5.0407,0.38,302702273.0,30121333.4,27091042.6,57212376.0,-3030290.8,-1.0,18.9,4085799704.08,ST、*ST证券连续三个交易日内收盘价格跌幅偏离值累计达到12%的证券
20260114,603859.SH,能科科技,58.59,7.6626,16.31,6362546482.0,549947168.09,493487693.56,1043434861.65,-56459474.53,-0.89,16.4,14336838301.59,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20260114,603918.SH,金桥信息,22.17,10.0248,25.78,5040178305.0,573096716.74,569925927.19,1143022643.93,-3170789.55,-0.06,22.68,8094433851.42,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20260114,605136.SH,丽人丽妆,13.26,10.0415,6.94,360103565.0,20904028.0,106002988.33,126907016.33,85098960.33,23.63,35.24,5310079710.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
20260114,605255.SH,天普股份,194.26,10.0,4.97,1196719344.0,114929580.45,65467922.07,180397502.52,-49461658.38,-4.13,15.07,26046380800.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
20260114,688031.SH,星环科技,214.5,11.0363,14.65,18163031500.0,18163031500.0,18163031500.0,36326063000.0,0.0,0.0,200.0,20157110688.0,有价格涨跌幅限制的连续10个交易日内收盘价格涨幅偏离值累计达到100%的证券
20260114,688031.SH,星环科技,214.5,11.0363,14.65,38217755100.0,38217755000.0,38217755100.0,76435510100.0,100.0,0.0,200.0,20157110688.0,有价格涨跌幅限制的连续30个交易日内收盘价格涨幅偏离值累计达到200%的证券
20260114,688080.SH,映翰通,69.13,19.9965,15.63,761037700.0,73302280.12,94156080.67,167458360.79,20853800.55,2.74,22.0,5091848405.16,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
20260114,688258.SH,卓易信息,164.0,9.9196,14.93,10767222500.0,10767222500.0,10767222500.0,21534445000.0,0.0,0.0,200.0,19867326868.0,有价格涨跌幅限制的连续10个交易日内收盘价格涨幅偏离值累计达到100%的证券
20260114,688277.SH,天智航,24.95,13.2547,13.29,2541131900.0,180095927.07,165366167.29,345462094.36,-14729759.78,-0.58,13.59,11377001248.3,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券
20260114,688292.SH,浩瀚深度,37.24,20.0129,24.26,852734000.0,152549296.93,153748025.99,306297322.92,1198729.06,0.14,35.92,3754948227.52,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
20260114,688292.SH,浩瀚深度,37.24,20.0129,24.26,1602538700.0,253683810.92,220849552.27,474533363.19,-32834258.65,-2.05,29.61,3754948227.52,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券
20260114,688365.SH,光云科技,34.2,20.0,6.5,917526500.0,213269349.67,120738058.64,334007408.31,-92531291.03,-10.08,36.4,14563204192.8,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
20260114,688365.SH,光云科技,34.2,20.0,6.5,3134264700.0,329336845.29,480019750.43,809356595.72,150682905.14,4.81,25.82,14563204192.8,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券
20260114,688365.SH,光云科技,34.2,20.0,6.5,7541936900.0,7541936900.0,7541937000.0,15083873900.0,100.0,0.0,200.0,14563204192.8,有价格涨跌幅限制的连续10个交易日内收盘价格涨幅偏离值累计达到100%的证券
20260114,688479.SH,友车科技,25.02,20.0,20.61,307171300.0,69272442.54,57240529.59,126512972.13,-12031912.95,-3.92,41.19,1559181348.0,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
20260114,688488.SH,艾迪药业,19.83,16.7157,5.76,462338200.0,88504946.9,102773748.42,191278695.32,14268801.52,3.09,41.37,8344123082.64,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
20260114,920021.BJ,流金科技,13.57,29.9808,54.37,1558165100.0,184302180.12,148299088.0,332601268.12,-36003092.12,-2.31,21.35,3159674543.38,当日换手率达到20%的前5只股票
20260114,920088.BJ,科力股份,42.81,14.5571,39.36,510096700.0,34122730.69,44559225.27,78681955.96,10436494.58,2.05,15.42,1360557367.38,当日换手率达到20%的前5只股票
20260114,920091.BJ,大鹏工业,96.46,5.3057,40.13,508066300.0,50189989.76,55402192.34,105592182.1,5212202.58,1.03,20.78,1310978214.0,当日换手率达到20%的前5只股票
20260114,920169.BJ,七丰精工,46.15,30.0,41.1,884377300.0,52075859.73,139393046.68,191468906.41,87317186.95,9.87,21.65,2344567818.45,当日换手率达到20%的前5只股票
20260114,920207.BJ,众诚科技,39.5,-6.7737,41.0,965226700.0,145251463.26,80561231.08,225812694.34,-64690232.18,-6.7,23.39,2223038986.0,当日换手率达到20%的前5只股票
20260114,920227.BJ,美登科技,115.76,29.9944,32.66,626794900.0,110605892.28,84450913.58,195056805.86,-26154978.7,-4.17,31.12,2036473072.0,当日收盘价涨幅达到20%的前5只股票
20260114,920790.BJ,联迪信息,45.12,13.4809,17.47,424634700.0,39805354.89,52938959.83,92744314.72,13133604.94,3.09,21.84,2452224984.96,当日价格振幅达到30%的前5只股票
20260115,000547.SZ,航天发展,30.04,-7.4838,22.2,34979709852.0,2663060987.11,1885768736.31,4548829723.42,-777292250.8,-2.22,13.0,47737196702.48,连续三个交易日内，跌幅偏离值累计达到20%的证券
20260115,000592.SZ,平潭发展,13.93,-10.0129,17.27,4843790714.0,272402527.79,266982359.24,539384887.03,-5420168.55,-0.11,11.14,26677237814.57,日跌幅偏离值达到7%的前5只证券
20260115,000593.SZ,德龙汇能,18.28,4.9971,22.84,1425300563.0,207434832.75,214666140.07,422100972.82,7231307.32,0.51,29.61,6553072329.32,日振幅值达到15%的前5只证券
20260115,000638.SZ,*ST万方,4.34,-5.0328,0.2,69116447.0,21106182.43,10794793.84,31900976.27,-10311388.59,-14.92,46.16,1346031908.34,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20260115,000681.SZ,视觉中国,35.11,9.9937,36.22,8318754793.0,814995513.65,1010088941.55,1825084455.2,195093427.9,2.35,21.94,23743609483.73,日涨幅偏离值达到7%的前5只证券
20260115,000901.SZ,航天科技,27.45,-5.6052,12.52,9799771791.0,834001171.89,917197898.99,1751199070.88,83196727.1,0.85,17.87,21910408308.45,连续三个交易日内，跌幅偏离值累计达到20%的证券
20260115,000981.SZ,山子高科,5.1,-10.0529,20.06,10018056104.0,1613756396.08,803867082.32,2417623478.4,-809889313.76,-8.08,24.13,48518116074.3,日跌幅偏离值达到7%的前5只证券
20260115,001208.SZ,华菱线缆,23.75,-10.0038,23.48,5779045336.0,394440558.76,445455873.24,839896432.0,51015314.48,0.88,14.53,6255696491.25,连续三个交易日内，跌幅偏离值累计达到20%的证券
20260115,001255.SZ,博菲电气,50.19,9.9934,7.22,663490835.0,92837416.16,116133370.08,208970786.24,23295953.92,3.51,31.5,3566300640.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20260115,001260.SZ,坤泰股份,26.25,10.0168,40.66,337010768.0,60783503.43,39993429.0,100776932.43,-20790074.43,-6.17,29.9,833437500.0,日换手率达到20%的前5只证券
20260115,001260.SZ,坤泰股份,26.25,10.0168,40.66,945333984.0,150098791.1,119652692.59,269751483.69,-30446098.51,-3.22,28.54,833437500.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20260115,001400.SZ,江顺科技,112.56,-6.5737,39.59,700968490.0,146173631.16,177780047.77,323953678.93,31606416.61,4.51,46.22,1688400000.0,日振幅值达到15%的前5只证券
20260115,002112.SZ,三变科技,21.15,9.9844,53.86,2939843671.0,220571833.66,255706385.48,476278219.14,35134551.82,1.2,16.2,5542982482.5,日涨幅偏离值达到7%的前5只证券
20260115,002115.SZ,三维通信,19.54,-0.2552,63.12,9421718876.0,984544759.75,842306888.01,1826851647.76,-142237871.74,-1.51,19.39,14697900695.28,日换手率达到20%的前5只证券
20260115,002130.SZ,沃尔核材,29.78,10.0111,14.35,4784096534.0,176687433.79,1006098169.55,1182785603.34,829410735.76,17.34,24.72,34083559944.78,日涨幅偏离值达到7%的前5只证券
20260115,002131.SZ,利欧股份,10.4,4.7331,43.94,25336174816.0,2823682414.46,2241650331.55,5065332746.01,-582032082.91,-2.3,19.99,60837127956.8,日换手率达到20%的前5只证券
20260115,002151.SZ,北斗星通,52.33,-3.5036,23.42,15255286708.0,1039914505.71,1802527654.64,2842442160.35,762613148.93,5.0,18.63,23172711048.46,连续三个交易日内，跌幅偏离值累计达到20%的证券
20260115,002195.SZ,岩山科技,11.87,-10.0076,5.11,3420807146.0,620956501.34,190431047.0,811387548.34,-430525454.34,-12.59,23.72,66486976521.44,日跌幅偏离值达到7%的前5只证券
20260115,002202.SZ,金风科技,30.04,-10.006,5.37,5476993213.0,935697619.34,364029055.94,1299726675.28,-571668563.4,-10.44,23.73,101060014693.24,日跌幅偏离值达到7%的前5只证券
20260115,002218.SZ,拓日新能,5.6,10.0196,4.42,751642136.0,84135636.0,393186597.0,477322233.0,309050961.0,41.12,63.5,7797430194.4,连续三个交易日内，涨幅偏离值累计达到20%的证券
20260115,002219.SZ,新里程,2.6,-5.4545,21.66,1971601118.0,209547715.87,118485590.07,328033305.94,-91062125.8,-4.62,16.64,8507313672.0,日振幅值达到15%的前5只证券
20260115,002264.SZ,新华都,12.09,10.0091,25.26,1895230988.0,269543451.75,200709565.0,470253016.75,-68833886.75,-3.63,24.81,7916324172.9,日涨幅偏离值达到7%的前5只证券
20260115,002264.SZ,新华都,12.09,10.0091,25.26,2928259580.0,345040472.75,322949054.39,667989527.14,-22091418.36,-0.75,22.81,7916324172.9,连续三个交易日内，涨幅偏离值累计达到20%的证券
20260115,002347.SZ,泰尔股份,10.84,-8.1356,19.6,4798675140.0,356433118.6,525573066.36,882006184.96,169139947.76,3.52,18.38,5348270646.84,连续三个交易日内，跌幅偏离值累计达到20%的证券
20260115,002400.SZ,省广集团,12.8,-7.3135,40.32,8945587014.0,1223168260.14,1335463808.96,2558632069.1,112295548.82,1.26,28.6,22094907110.4,日换手率达到20%的前5只证券
20260115,002413.SZ,雷科防务,14.68,-9.9939,10.47,17228765635.0,1695057999.64,841139709.06,2536197708.7,-853918290.58,-4.96,14.72,18982405592.0,连续三个交易日内，跌幅偏离值累计达到20%的证券
20260115,002446.SZ,盛路通信,14.67,9.97,34.74,3944762435.0,500354281.56,826999298.39,1327353579.95,326645016.83,8.28,33.65,12436892932.32,日振幅值达到15%的前5只证券
20260115,002446.SZ,盛路通信,14.67,9.97,34.74,7242783338.0,648160543.73,1345207745.29,1993368289.02,697047201.56,9.62,27.52,12436892932.32,连续三个交易日内，涨幅偏离值累计达到20%的证券
20260115,002565.SZ,顺灏股份,16.69,-9.9784,14.63,2621658750.0,237448997.58,114166483.28,351615480.86,-123282514.3,-4.7,13.41,17690464058.18,日跌幅偏离值达到7%的前5只证券
20260115,002565.SZ,顺灏股份,16.69,-9.9784,14.63,9393797577.0,510610530.42,345618078.68,856228609.1,-164992451.74,-1.76,9.11,17690464058.18,连续三个交易日内，跌幅偏离值累计达到20%的证券
20260115,002707.SZ,众信旅游,9.09,10.0484,3.16,1194817534.0,67127389.68,207171531.75,274298921.43,140044142.07,11.72,22.96,7501133675.25,连续三个交易日内，涨幅偏离值累计达到20%的证券
20260115,002816.SZ,*ST和科,25.0,4.9979,0.49,95020310.0,26646607.0,21239207.0,47885814.0,-5407400.0,-5.69,50.4,2500000000.0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20260115,002969.SZ,嘉美包装,17.38,-9.9948,13.38,2489608134.0,157199770.2,137535296.59,294735066.79,-19664473.61,-0.79,11.84,17362634633.96,日振幅值达到15%的前5只证券
20260115,003009.SZ,中天火箭,76.44,-4.4022,8.74,3353774022.0,275171699.19,327020935.95,602192635.14,51849236.76,1.55,17.96,11876441751.72,连续三个交易日内，跌幅偏离值累计达到20%的证券
20260115,118063.SH,金05转债,188.76,20.0,,3996042080.0,640482570.0,680951510.0,1321434080.0,40468940.0,1.01,33.07,,"非上市首日,当日收盘价涨幅达15%的前五只可转债"
20260115,127038.SZ,国微转债,151.339,15.1524,,2593415242.0,501209476.35,501485683.19,1002695159.54,276206.84,0.01,38.66,,日涨幅达到15%的前5只可转债
20260115,127042.SZ,嘉美转债,369.355,-19.2774,,5183038168.0,1119420622.42,1098241504.7,2217662127.12,-21179117.72,-0.41,42.79,,日跌幅达到15%的前5只可转债
20260115,300063.SZ,天龙集团,13.94,-20.0229,34.0,3046772352.0,303986185.5,149249499.5,453235685.0,-154736686.0,-5.08,14.88,8734168935.42,日跌幅达到15%的前5只证券
20260115,300111.SZ,向日葵,4.96,-20.0,2.78,2252540827.0,334504740.53,153451433.0,487956173.53,-181053307.53,-8.04,21.66,6384565141.44,连续三个交易日内，跌幅偏离值累计达到30%的证券
20260115,300212.SZ,易华录,18.58,-19.9828,10.15,1348089463.0,187599266.35,75150438.17,262749704.52,-112448828.18,-8.34,19.49,12978347831.92,日跌幅达到15%的前5只证券
20260115,300379.SZ,东通退,1.89,1.0695,6.68,66998984.0,10841513.0,21721881.88,32563394.88,10880368.88,16.24,48.6,995344995.96,退市整理期
20260115,300427.SZ,红相股份,14.03,-10.9772,35.18,2507590328.0,492300398.08,212005997.4,704306395.48,-280294400.68,-11.18,28.09,7057158578.64,日换手率达到30%的前5只证券
20260115,300452.SZ,山河药辅,16.85,20.0142,20.85,669542668.0,77060953.2,158267718.76,235328671.96,81206765.56,12.13,35.15,3346867747.1,日涨幅达到15%的前5只证券
20260115,300530.SZ,领湃科技,33.5,18.6261,12.2,620286456.0,77267332.0,86070380.0,163337712.0,8803048.0,1.42,26.33,5301291685.5,日涨幅达到15%的前5只证券
20260115,300758.SZ,七彩化学,20.22,20.0,12.46,920562353.0,107419537.0,269465549.5,376885086.5,162046012.5,17.6,40.94,7406605310.1,日涨幅达到15%的前5只证券
20260115,300758.SZ,七彩化学,20.22,20.0,12.46,1752903288.0,139936506.15,470871772.42,610808278.57,330935266.27,18.88,34.85,7406605310.1,连续三个交易日内，涨幅偏离值累计达到30%的证券
20260115,300785.SZ,值得买,67.11,-20.0024,22.82,1944222177.0,194411917.39,83329387.56,277741304.95,-111082529.83,-5.71,14.29,8209853866.35,日跌幅达到15%的前5只证券
20260115,301079.SZ,邵阳液压,48.09,-12.3245,28.74,3746520431.0,394354607.22,259592930.11,653947537.33,-134761677.11,-3.6,17.45,3343466819.91,连续三个交易日内，跌幅偏离值累计达到30%的证券
20260115,301230.SZ,泓博医药,52.61,-19.997,13.08,888155941.0,85558018.35,71688948.58,157246966.93,-13869069.77,-1.56,17.7,6608648816.3,日跌幅达到15%的前5只证券
20260115,301275.SZ,汉朔科技,78.99,10.2442,39.24,1007402105.0,174709170.22,241217692.95,415926863.17,66508522.73,6.6,41.29,2669230080.0,日换手率达到30%的前5只证券
20260115,301275.SZ,汉朔科技,78.99,10.2442,39.24,1833740648.0,189281407.22,373402005.07,562683412.29,184120597.85,10.04,30.69,2669230080.0,连续三个交易日内，涨幅偏离值累计达到30%的证券
20260115,301348.SZ,蓝箭电子,30.28,20.0159,37.96,1599559973.0,174612607.87,262494552.52,437107160.39,87881944.65,5.49,27.33,4697614067.6,日换手率达到30%的前5只证券
20260115,301348.SZ,蓝箭电子,30.28,20.0159,37.96,3898702293.0,333217067.25,377384729.39,710601796.64,44167662.14,1.13,18.23,4697614067.6,连续三个交易日内，涨幅偏离值累计达到30%的证券
20260115,301378.SZ,通达海,46.62,-14.5997,39.58,843580027.0,149180514.33,240823358.75,390003873.08,91642844.42,10.86,46.23,2140535435.22,日换手率达到30%的前5只证券
20260115,301408.SZ,华人健康,23.81,-19.9933,32.92,1215655629.0,135878679.61,80464238.31,216342917.92,-55414441.3,-4.56,17.8,3551768724.43,日跌幅达到15%的前5只证券
20260115,301629.SZ,矽电股份,331.56,20.0,39.5,1244825447.0,156843206.92,285893662.06,442736868.98,129050455.14,10.37,35.57,3458740751.64,日换手率达到30%的前5只证券
20260115,600151.SH,航天机电,19.91,5.7355,23.05,6493662619.0,861049623.79,895739138.57,1756788762.36,34689514.78,0.53,27.05,28555963034.17,有价格涨跌幅限制的日换手率达到20%的前五只证券
20260115,600340.SH,华夏幸福,1.76,-10.2041,0.73,49854464.0,7825947.36,3896992.0,11722939.36,-3928955.36,-7.88,23.51,6852304909.12,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
20260115,600340.SH,华夏幸福,1.76,-10.2041,0.73,705083990.0,92983783.7,45436094.8,138419878.5,-47547688.9,-6.74,19.63,6852304909.12,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
20260115,600403.SH,大有能源,6.9,-10.0391,2.69,454891331.0,54241309.0,33734488.0,87975797.0,-20506821.0,-4.51,19.34,16496605573.8,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
20260115,600410.SH,华胜天成,24.42,10.0,3.27,8187977728.0,446464433.73,1195887954.68,1642352388.41,749423520.95,9.15,20.06,26776400158.86,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20260115,600501.SH,航天晨光,30.13,-3.7688,11.5,5408534604.0,319640753.01,442118678.7,761759431.71,122477925.69,2.26,14.08,12890343146.0,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
20260115,600589.SH,大位科技,10.25,-5.7904,29.9,4622137945.0,566690319.04,439568226.05,1006258545.09,-127122092.99,-2.75,21.77,15154316372.5,有价格涨跌幅限制的日换手率达到20%的前五只证券
